ID,PARENT_ID,ROLE_NAME
186,8,SCH_FA_DCDW_DB_D_CDW_FADEL_STG_TB
186,5,SCH_FA_DCDW_DB_D_CDW_FADEL_STG_TB
186,6,SCH_FA_DCDW_DB_D_CDW_FADEL_STG_TB
186,7,SCH_FA_DCDW_DB_D_CDW_FADEL_STG_TB
187,8,SCH_FA_DCDW_DB_D_CDW_FADEL_STG_TB
187,7,SCH_FA_DCDW_DB_D_CDW_FADEL_STG_TB
187,5,SCH_FA_DCDW_DB_D_CDW_FADEL_STG_TB
187,6,SCH_FA_DCDW_DB_D_CDW_FADEL_STG_TB
188,7,SCH_FA_DCDW_DB_D_CDW_FADEL_STG_TB
188,5,SCH_FA_DCDW_DB_D_CDW_FADEL_STG_TB
188,6,SCH_FA_DCDW_DB_D_CDW_FADEL_STG_TB
188,8,SCH_FA_DCDW_DB_D_CDW_FADEL_STG_TB
189,7,SCH_FA_DCDW_DB_D_CDW_FADEL_STG_TB
189,5,SCH_FA_DCDW_DB_D_CDW_FADEL_STG_TB
189,6,SCH_FA_DCDW_DB_D_CDW_FADEL_STG_TB
189,8,SCH_FA_DCDW_DB_D_CDW_FADEL_STG_TB
190,7,SCH_FA_DCDW_DB_D_CDW_FADEL_TB
190,5,SCH_FA_DCDW_DB_D_CDW_FADEL_TB
190,8,SCH_FA_DCDW_DB_D_CDW_FADEL_TB
190,6,SCH_FA_DCDW_DB_D_CDW_FADEL_TB
191,6,SCH_FA_DCDW_DB_D_CDW_FADEL_TB
191,8,SCH_FA_DCDW_DB_D_CDW_FADEL_TB
191,5,SCH_FA_DCDW_DB_D_CDW_FADEL_TB
191,7,SCH_FA_DCDW_DB_D_CDW_FADEL_TB
192,5,SCH_FA_DCDW_DB_D_CDW_FADEL_TB
192,6,SCH_FA_DCDW_DB_D_CDW_FADEL_TB
192,7,SCH_FA_DCDW_DB_D_CDW_FADEL_TB
192,8,SCH_FA_DCDW_DB_D_CDW_FADEL_TB
193,5,SCH_FA_DCDW_DB_D_CDW_FADEL_TB
193,6,SCH_FA_DCDW_DB_D_CDW_FADEL_TB
193,8,SCH_FA_DCDW_DB_D_CDW_FADEL_TB
193,7,SCH_FA_DCDW_DB_D_CDW_FADEL_TB
194,5,SCH_FA_DCDW_DB_PUBLIC
194,6,SCH_FA_DCDW_DB_PUBLIC
194,8,SCH_FA_DCDW_DB_PUBLIC
194,7,SCH_FA_DCDW_DB_PUBLIC
195,5,SCH_FA_DCDW_DB_PUBLIC
195,8,SCH_FA_DCDW_DB_PUBLIC
195,7,SCH_FA_DCDW_DB_PUBLIC
195,6,SCH_FA_DCDW_DB_PUBLIC
196,7,SCH_FA_DCDW_DB_PUBLIC
196,6,SCH_FA_DCDW_DB_PUBLIC
196,5,SCH_FA_DCDW_DB_PUBLIC
196,8,SCH_FA_DCDW_DB_PUBLIC
197,8,SCH_FA_DCDW_DB_PUBLIC
197,5,SCH_FA_DCDW_DB_PUBLIC
197,6,SCH_FA_DCDW_DB_PUBLIC
197,7,SCH_FA_DCDW_DB_PUBLIC
198,120,SCH_FA_DCDW_DST_ENTERPRISE_SANDBOX
